,model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
205,ResNext50,10.0,0.5,4.0,2.0,32.0,1e-09,1.0,0.2213092018584009,0.6304347826086957,0.1349206349206349,0.8541666666666666,0.6422553217929342,0.1470588235294117,0.4629629629629629,0.4545454545454545,0.087719298245614,0.0,8599.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010642_federated_metrics.csv,
206,RexNet,15.0,1.0,4.0,2.0,16.0,1e-05,14.0,0.9297921071176886,0.9456521739130436,0.9166666666666669,0.946969696969697,0.2647347016179043,0.5892857142857143,0.5740740740740741,0.6,0.5789473684210527,0.0,17672.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010700_federated_metrics.csv,
207,RexNet,15.0,1.0,4.0,2.0,32.0,1e-05,13.0,0.8970109096270087,0.9184782608695652,0.8571428571428572,0.943627450980392,0.3360989370747752,0.4752475247524752,0.5092592592592593,0.5454545454545454,0.4210526315789473,0.0,20890.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010821_federated_metrics.csv,
208,ResNet50,10.0,1.0,4.0,2.0,32.0,1e-05,7.0,1.0,1.0,1.0,1.0,0.005503899770227,0.064516129032258,0.4629629629629629,0.4,0.0350877192982456,9.0,31252.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010901_federated_metrics.csv,
209,RexNet,15.0,1.0,4.0,2.0,16.0,1e-06,6.0,0.429484865673181,0.4945652173913043,0.4543650793650793,0.4161523259349347,0.8112408706675406,0.24,0.4722222222222222,0.5,0.1578947368421052,0.0,10759.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010914_federated_metrics.csv,
210,ResNext50,10.0,1.0,4.0,2.0,16.0,1e-05,9.0,1.0,1.0,1.0,1.0,8.06113080018448e-05,0.6973684210526315,0.5740740740740741,0.5578947368421052,0.9298245614035088,0.0,33658.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010949_federated_metrics.csv,
211,RexNet,15.0,1.0,4.0,2.0,32.0,1e-06,3.0,0.469884443721653,0.5054347826086957,0.5674603174603174,0.411825802784882,0.7970281696837882,0.544,0.4722222222222222,0.5,0.5964912280701754,0.0,21424.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011038_federated_metrics.csv,
212,ResNet50,10.0,1.0,4.0,2.0,16.0,1e-07,9.0,0.3703148703148703,0.6739130434782609,0.240079365079365,0.8958333333333334,0.5970423445105553,0.125,0.4814814814814814,0.5714285714285714,0.0701754385964912,0.0,29038.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011135_federated_metrics.csv,
213,RexNet,10.0,0.5,8.0,1.0,16.0,1e-05,7.0,0.4312090676351512,0.5815217391304348,0.5148809523809523,0.3740946553446553,0.6998788392090278,0.5321100917431193,0.5277777777777778,0.5576923076923077,0.5087719298245614,1.0,4837.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011336_federated_metrics.csv,
214,ResNet50,10.0,1.0,4.0,2.0,32.0,1e-07,9.0,0.423142656782208,0.6684782608695653,0.3015873015873016,0.7428571428571429,0.6238505762556324,0.3,0.4814814814814814,0.5217391304347826,0.2105263157894736,0.0,22398.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011342_federated_metrics.csv,
215,RexNet,10.0,0.5,8.0,1.0,32.0,1e-05,5.0,0.40569589079651,0.5217391304347826,0.5461309523809524,0.3241591741591741,0.7838074117898941,0.4464285714285714,0.4259259259259259,0.4545454545454545,0.4385964912280701,0.0,4220.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011401_federated_metrics.csv,
216,RexNet,10.0,0.5,8.0,1.0,16.0,1e-06,1.0,0.4174991373360939,0.4891304347826086,0.6257440476190477,0.3157422438672438,0.8448259077318337,0.6178861788617886,0.5648148148148148,0.5757575757575758,0.6666666666666666,0.0,4845.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011428_federated_metrics.csv,
217,RexNet,10.0,0.5,8.0,1.0,32.0,1e-06,4.0,0.4020119743803954,0.4945652173913044,0.5654761904761906,0.3235452047952047,0.7792789414525032,0.5185185185185185,0.3981481481481481,0.4487179487179487,0.6140350877192983,0.0,2013.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011445_federated_metrics.csv,
218,ResNet50,10.0,1.0,4.0,2.0,16.0,1e-09,6.0,0.4757711384949236,0.4347826086956521,0.6408730158730159,0.3811132561132561,0.727202445268631,0.5785123966942148,0.5277777777777778,0.546875,0.6140350877192983,0.0,12399.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011514_federated_metrics.csv,
219,RexNet,10.0,1.0,8.0,1.0,16.0,1e-05,7.0,0.4748491704374057,0.608695652173913,0.6063988095238095,0.4156364468864468,0.7036453168029371,0.6614173228346457,0.6018518518518519,0.6,0.7368421052631579,6.0,6915.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011524_federated_metrics.csv,
220,RexNet,10.0,1.0,8.0,1.0,32.0,1e-05,2.0,0.4220508658008657,0.5108695652173912,0.5788690476190476,0.3485061813186813,0.8038191199302673,0.2666666666666666,0.3888888888888889,0.3636363636363636,0.2105263157894736,0.0,7274.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011604_federated_metrics.csv,
221,RexNet,10.0,1.0,8.0,1.0,16.0,1e-06,3.0,0.4276135438573182,0.4945652173913043,0.6145833333333333,0.3308389527139527,0.7950696352383365,0.5168539325842697,0.6018518518518519,0.71875,0.4035087719298245,0.0,1413.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011620_federated_metrics.csv,
222,ResNet50,10.0,1.0,4.0,2.0,32.0,1e-09,4.0,0.4475132040888961,0.4891304347826087,0.5079365079365079,0.4063752052545156,0.7160861576380938,0.0344827586206896,0.4814814814814814,1.0,0.0175438596491228,0.0,10760.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011645_federated_metrics.csv,
223,RexNet,10.0,1.0,8.0,1.0,32.0,1e-06,2.0,0.3763046911434985,0.5054347826086957,0.5081845238095238,0.3030934343434343,0.8404978066682816,0.1159420289855072,0.4351851851851852,0.3333333333333333,0.0701754385964912,0.0,7451.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011700_federated_metrics.csv,
224,RexNet,10.0,0.5,8.0,2.0,16.0,1e-05,9.0,0.5032443240454076,0.6195652173913042,0.6391369047619049,0.4190389471639472,0.6666222305401512,0.5671641791044776,0.4629629629629629,0.4935064935064935,0.6666666666666666,0.0,5810.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011732_federated_metrics.csv,
225,ResNext50,10.0,0.5,8.0,1.0,16.0,1e-05,9.0,0.9654761904761906,0.9782608695652174,0.96875,0.96875,0.0694157019024714,0.6993865030674846,0.5462962962962963,0.5377358490566038,1.0,4.0,24287.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011741_federated_metrics.csv,
