model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
ResNet18,5,1.0,8,1,32,0.001,3,0.8652389277389277,0.934782608695652,0.7827380952380952,1.0,0.3214429633808322,0.46,0.5,0.5348837209302325,0.4035087719298245,4,3151,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211154_federated_metrics.csv,
ResNet18,5,1.0,8,1,16,0.0001,3,0.9224358974358976,0.9565217391304348,0.9017857142857144,0.96875,0.1288557627602763,0.5765765765765766,0.5648148148148148,0.5925925925925926,0.5614035087719298,3,3297,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211227_federated_metrics.csv,
ResNet18,5,1.0,8,1,32,0.0001,4,0.9339743589743592,0.9619565217391304,0.8839285714285716,1.0,0.0940003422438167,0.5862068965517241,0.5555555555555556,0.576271186440678,0.5964912280701754,3,3126,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211256_federated_metrics.csv,
ResNet18,5,1.0,8,1,16,1e-05,4,0.816569459951813,0.8913043478260868,0.7782738095238095,0.8869047619047619,0.4401375870017902,0.6709677419354839,0.5277777777777778,0.5306122448979592,0.912280701754386,1,3122,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211325_federated_metrics.csv,
ResNet18,5,1.0,8,1,32,1e-05,4,0.5833906289788643,0.7717391304347825,0.5089285714285714,0.726686507936508,0.6754778251051903,0.0655737704918032,0.4722222222222222,0.5,0.0350877192982456,0,3083,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211355_federated_metrics.csv,
ResNet18,5,1.0,8,1,16,1e-06,4,0.5665084915084915,0.7771739130434783,0.5037202380952381,0.6979166666666667,0.6241526506517243,0.4864864864864865,0.4722222222222222,0.5,0.4736842105263157,3,3354,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211428_federated_metrics.csv,
ResNet18,5,1.0,8,1,32,1e-06,0,0.1256944444444444,0.6684782608695651,0.087797619047619,0.3541666666666666,0.5883506014943123,0.0,0.4629629629629629,0.0,0.0,0,2082,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211451_federated_metrics.csv,
ResNet18,5,1.0,8,1,16,1e-07,3,0.3477491258741259,0.6195652173913042,0.3430059523809524,0.3595238095238095,0.6754806712269783,0.4096385542168674,0.5462962962962963,0.6538461538461539,0.2982456140350877,0,3271,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211522_federated_metrics.csv,
ResNet18,5,1.0,8,1,32,1e-07,0,0.1797619047619047,0.5652173913043478,0.1666666666666666,0.1985119047619047,0.6475359871983528,0.5352112676056338,0.3888888888888889,0.4470588235294118,0.6666666666666666,0,3243,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211552_federated_metrics.csv,
ResNet18,5,1.0,8,1,16,1e-08,4,0.4764998588368153,0.5054347826086957,0.7507440476190476,0.3499942765567766,0.7028271672518356,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,3,3247,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211623_federated_metrics.csv,
